,SMILES
57,O=C(Nc1c(-c2cn(C)nc2)nn(C)c1)[C@@H]1C[C@H](CC)NC(=O)C1
58,O=C(NC1(c2cc(C)ccc2)CCCC1)[C@@H]1C[C@@H](CC)NC(=O)C1
59,O=C(Nc1n(CCCCC)nc(C)c1)[C@@H]1C[C@@H](CC)NC(=O)C1
60,O=C(NC1(c2ccc(C(C)(C)C)cc2)CCCC1)[C@@H]1C[C@H](C)NC(=O)C1
61,O=C(NC1(c2cc(C)ccc2)CCCC1)[C@@H]1C[C@H](CC)NC(=O)C1
62,O=C(Nc1c(-c2ccccc2)nc(C)s1)[C@@H]1C[C@H](CC)NC(=O)C1
63,FC(F)(F)c1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCC2)cc1
64,O=C(Nc1n(-c2ccccc2)nc(C(C)C)c1)N1CCN(C)C(=O)CC1
65,FC(F)[C@@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1ccccc1
66,Clc1cc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCCC2)ccc1
67,FC(F)(F)c1cc([C@](O)(C(=O)NCc2ccc(CO)cc2)C)ccc1
68,O=C(NC1(c2ccc(OC)cc2)CCCC1)[C@@H]1C[C@H](C)NC(=O)C1
69,O=C(N[C@@H]1C(=O)NC(=O)CC1)Nc1n(-c2ccccc2)nc(C2CC2)c1
70,O=C(N(CC=1NC(=O)C=CC=1)C)C1=NN(c2ccccc2)C(=O)CC1
71,O=C(NCC=1NC=CC(=O)C=1)C[C@H]1c2c(NC(=O)C1)cccc2
72,O=C(NC1(c2ccccc2)CCCC1)[C@H]1CC(=O)NCC1
73,Fc1cc(N2C(=O)CC[C@@H](C(=O)N(Cc3[nH]ccc3)C)C2)ccc1
74,Brc1ccc(C2(NC(=O)N[C@H]3C4(NC(=O)CC3)CCC4)CCCC2)cc1
75,Fc1cc(CC(=O)N2C[C@H]3N(C(=O)c4c3cccc4)CC2)c(OC)cc1
76,O=C(NC1(c2ccc(OC)cc2)CCCC1)[C@@H]1C[C@@H](C)NC(=O)C1
77,FC(F)(F)c1cc([C@H](O)C(=O)NC[C@H]2CN(CCC)C(=O)C2)ccc1
78,Fc1c(C2(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)CCC2)ccc(F)c1
79,O=C(NC1(c2ccccc2)CCCC1)[C@@H]1C[C@H](CC)NC(=O)C1
80,O=C(NC1(c2scc(C)n2)CCCC1)[C@@H]1C[C@@H](CC)NC(=O)C1
81,Clc1cc(C2(NC(=O)C=3C=C(C)NC(=O)C=3)CCCC2)ccc1
82,O=C(NC1(c2ccc(OC)cc2)CCCC1)[C@H]1CC(=O)NCC1
83,FC(F)[C@H](O)CNC(=O)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
84,S(CC(=O)N1C[C@H]2[C@@H](NC(=O)C=3N(C)C(=O)C=CC=3)CC[C@H]2C1)C
85,O=C(NC1(c2ccccc2)CCC1)[C@H]1c2c(C(=O)N(C)C1)cccc2
86,FC(F)(F)[C@@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1scc(C)n1
87,O=C(N[C@@H](C(=O)N1[C@@H](C)C(=O)N(C)C1)Cc1[nH]cnc1)CC(C)C
88,Fc1cc(C(=O)NC[C@H]2N(C(=O)C[C@H]3C(=O)NC(=O)N3)CC2)[nH]c1
89,O=C(NC1(c2cc(C)ccc2)CCCC1)[C@@H]1C[C@H](C)NC(=O)C1
90,FC(F)(F)[C@@H](O)CNC(=O)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
91,O=C(NC1(c2cc(C)ccc2)CCCC1)C=1N=C2N(C(=O)C=1)NC=N2
92,[S@H0](=O)(C[C@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1ccccc1)C
93,Fc1cc2NC(=O)C[C@H](C(=O)NC3CCC(F)(F)CC3)c2cc1
94,Fc1ccc(C2(NC(=O)[C@@H]3C[C@@H](C)NC(=O)C3)CCCC2)cc1
95,Clc1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCCC2)cc1
96,Clc1cc(C2(NC(=O)C=3N=C4N(C(=O)C=3)NC=N4)CCCC2)ccc1
97,Fc1cc2NC(=O)C[C@H](C(=O)NC34CC(CC3)CC4)c2cc1
98,O=C(NC1(c2sccn2)CCCC1)[C@@H]1C[C@@H](CC)NC(=O)C1
99,Fc1c(F)c(NC(=O)[C@H](O)[C@@H](O)c2[nH]c3c(n2)cccc3)ccc1O
100,Brc1ccc(C2(NC(=O)[C@@H]3C[C@@H](CC)NC(=O)C3)CCCC2)cc1
101,O=C(Nc1n(-c2ccccc2)nc(C2CC2)c1)C[C@H]1CC(=O)OC1
102,O=C(NC1(c2scc(C)n2)CCCC1)[C@@H]1C[C@H](C)NC(=O)C1
103,FC(F)[C@@H](O)CNC(=O)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
104,Clc1cc(C2(NC(=O)C=3N=C(C4CC4)NC(=O)C=3)CCCC2)ccc1
105,O=C(Nc1n(-c2ccccc2)nc(C2CCC2)c1)C[C@H]1CC(=O)OC1
106,Fc1ccc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCCC2)cc1
107,Fc1c(C2(NC(=O)[C@@H]3C[C@@H](CC)NC(=O)C3)CCC2)ccc(F)c1
108,O=C(NC1(CNC(=O)C2=CCCC2)CCC1)[C@@H]1C[C@H](CC)NC(=O)C1
109,O=C(N[C@H]1CC(=O)OC1)Nc1n(-c2ccccc2)nc(C2CC2)c1
110,O=C(NC[C@H](O)C(C)C)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
111,FC(F)(F)c1cc([C@](O)(C(=O)N[C@H](C)c2[nH]ccc2)C)ccc1
112,Brc1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCCC2)cc1
113,O=C(Nc1c(O)cc(O)cc1)[C@@H]1c2c(NC(=O)C1)cccc2
114,FC(F)(F)c1cc([C@@H](O)C(=O)N2C[C@H](C)C(=O)CC2)ccc1
115,O=C(NC[C@](O)(C(C)C)C)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
116,O=C(NC1(c2ccc(OC)cc2)CCCCCC1)[C@H]1CC(=O)NCC1
117,O=C(Nc1n(-c2ccccc2)nc([C@@H]2[C@H](C)C2)c1)C[C@H]1CC(=O)OC1
118,FC(F)(F)c1cc([C@H](O)C(=O)N2CCN(C)C(=O)CC2)ccc1
119,FC(F)(F)[C@@]1(O)CN(CC=2N=C3N=C(N)NN3C(=O)C=2)CC1
120,O=C(Nc1c(O)cc2N(C)C(=O)N(C)c2c1)[C@H]1[C@H](C2CCOCC2)C1
121,O=C(NC1(c2ccccc2)CCC1)[C@@H]1C[C@H](C)NC(=O)C1
122,Clc1cc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCCC2)ccc1
123,Fc1c(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCCC2)ccc(F)c1
124,Fc1c(N2C(=O)C=CC(C(=O)N(Cc3[nH]ccc3)C)=N2)cccc1
125,O=C(N[C@H]1CNC(=O)CC1)Nc1n(-c2ccccc2)nc(C2CC2)c1
126,Brc1cc(C2(NC(=O)C[C@H]3OC(=O)c4c3cccc4)CCC2)ccc1
127,O=C(NC1(c2scc(C)n2)CCC1)C[C@H]1OC(=O)c2c1cccc2
128,FC(F)(F)[C@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1ccc(F)cc1
129,Brc1ccc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCCC2)cc1
130,O=C(N[C@@H]([C@H](O)CC)CC)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
131,O=C(Nc1c(O)cc2N(C)C(=O)N(C)c2c1)/C=C/[C@@H]1COCC1
132,FC(F)(F)c1cc([C@H](O)C(=O)N[C@H]2c3c(cc(F)cc3)CC2)ccc1
133,O=C(NCC1(NC(=O)[C@H]2CC(=O)NCC2)CCCC1)C(C)(C)C
134,FC(F)(F)[C@@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1oc(C)cc1
135,O=C(N[C@@H]1[C@@H](C2CC2)NC(=O)CC1)Nc1c(-c2occc2)nn(C)c1
136,FC(F)(F)c1cc(-c2cc3c(C(C)(C)NC(=O)C3)cc2)cnc1
137,Fc1cc2NC(=O)C[C@H](C(=O)NC34CCC(CC3)CC4)c2cc1
138,FC(F)(F)c1cc([C@@H](O)C(=O)N2[C@H]3N(C(=O)CC2)CCC3)ccc1
